FXML file,v3.0.6 impact areas,Matched style classes,Generic node types affected
src/main/resources/fxml/pages/PaymentHistory.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Combo boxes, Date pickers, Tables","approved-button, approved-input, approved-screen, approved-table","Buttons, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/Profile.fxml,Page/root spacing,approved-screen,
src/main/resources/fxml/pages/Purchase.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-input, approved-screen, approved-table, danger-button","Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/PurchaseList.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, danger-button, export-bar, metric-value, quick-range-button, secondary-button","Buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/PurchaseReturnDetails.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Tables","approved-button, approved-screen, approved-table","Buttons, Tables"
src/main/resources/fxml/pages/PurchaseReturns.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, metric-value, return-kpi-card, return-kpi-icon, return-kpi-row, sales-metric-card, sales-metric-icon, secondary-button","Buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/Quotations.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, metric-value, quick-range-button, quotation-export-button, secondary-button","Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/RecordPayment.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-input, approved-screen, approved-table","Buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/Registration.fxml,"Page/root spacing; Global controls: Buttons, Text fields, Password fields",approved-screen,"Buttons, Text fields, Password fields"
src/main/resources/fxml/pages/ReminderCenter.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Menu buttons, Text fields, Combo boxes, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, metric-value, primary-button","Buttons, Menu buttons, Text fields, Combo boxes, Tables"
src/main/resources/fxml/pages/Reports.fxml,"Page/root spacing; Cards; Buttons/controls; KPI cards; Toolbars/filters; Tables; Global controls: Buttons, Menu buttons, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, approved-table, kpi-value, metric-value, primary-button, report-card, report-kpi-card, report-kpi-grid, reports-export-button, reports-single-page, sales-metric-card, sales-metric-icon, secondary-button","Buttons, Menu buttons, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/Sale.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-input, approved-screen, approved-table","Buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/SalesInvoiceDetails.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Tables","approved-button, approved-screen, approved-table","Buttons, Tables"
src/main/resources/fxml/pages/SalesList.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, export-bar, icon-button, metric-value, sales-metric-card, sales-metric-icon, secondary-button","Buttons, Menu buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/SalesReturns.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Text fields, Combo boxes, Date pickers, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, metric-value, return-kpi-card, return-kpi-icon, return-kpi-row, sales-metric-card, sales-metric-icon, secondary-button","Buttons, Text fields, Combo boxes, Date pickers, Tables"
src/main/resources/fxml/pages/Settings.fxml,"Page/root spacing; Cards; Buttons/controls; Global controls: Buttons, Text fields, Password fields, Combo boxes, Date pickers","approved-button, approved-input, approved-screen, settings-card","Buttons, Text fields, Password fields, Combo boxes, Date pickers"
src/main/resources/fxml/pages/SetupWizard.fxml,"Page/root spacing; Buttons/controls; Global controls: Buttons, Text fields, Password fields","approved-input, approved-screen","Buttons, Text fields, Password fields"
src/main/resources/fxml/pages/Splash.fxml,Page/root spacing,approved-screen,
src/main/resources/fxml/pages/Suppliers.fxml,"Page/root spacing; Buttons/controls; Toolbars/filters; Global controls: Buttons, Text fields, Tables","approved-button, approved-filter-bar, approved-screen, danger-button, secondary-button","Buttons, Text fields, Tables"
src/main/resources/fxml/pages/UserAccess.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Tables; Global controls: Buttons, Text fields, Combo boxes, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, approved-table, danger-button, metric-value, primary-button","Buttons, Text fields, Combo boxes, Tables"
src/main/resources/fxml/pages/UserDialog.fxml,"Page/root spacing; Buttons/controls; Global controls: Buttons, Text fields, Password fields, Combo boxes","approved-input, approved-screen, primary-button, secondary-button","Buttons, Text fields, Password fields, Combo boxes"
src/main/resources/fxml/pages/lookupDialog.fxml,"Page/root spacing; Buttons/controls; Global controls: Buttons, Text fields","approved-input, approved-screen, primary-button, secondary-button","Buttons, Text fields"
